name,county,normalized_name
"Fintan Phelan","carlow","fintan phelan"
"Andrea Dalton","carlow","andrea dalton"
"Fergal Browne","carlow","fergal browne"
"John Cassin","carlow","john cassin"
"Paul Doogue","carlow","paul doogue"
"Ken Murnane","carlow","ken murnane"
"Adrienne Wallace","carlow","adrienne wallace"
"Thomas Kinsella","carlow","thomas kinsella"
"Willie Quinn","carlow","willie quinn"
"Andy Gladney","carlow","andy gladney"
"Daniel Pender","carlow","daniel pender"
"Michael Doran","carlow","michael doran"
"Charlie Murphy","carlow","charlie murphy"
"John Pender","carlow","john pender"
"Will Paton","carlow","will paton"
"Ben Ward","carlow","ben ward"
"Jim Deane","carlow","jim deane"
"Brian O'Donoghue","carlow","brian o'donoghue"
"Sarah O'Reilly","cavan","sarah o'reilly"
"Carmel Brady","cavan","carmel brady"
"Stiofan Connaty","cavan","stiofan connaty"
"Val Smith","cavan","val smith"
"Kelly Clifford","cavan","kelly clifford"
"Niall Smith","cavan","niall smith"
"Shane P O'Reilly","cavan","shane p o'reilly"
"Trevor Smith","cavan","trevor smith"
"Winston Bennett","cavan","winston bennett"
"Philip Brady","cavan","philip brady"
"TP O'Reilly","cavan","tp o'reilly"
"Noel Connell","cavan","noel connell"
"Aine Smith","cavan","aine smith"
"Brendan Fay","cavan","brendan fay"
"Damien Brady","cavan","damien brady"
"John Paul Feeley","cavan","john paul feeley"
"Niamh Brady","cavan","niamh brady"
"Patricia Walsh","cavan","patricia walsh"
"Alan O'Callaghan","clare","alan o'callaghan"
"Antoinette Baker Bashua","clare","antoinette baker bashua"
"Bill Slattery","clare","bill slattery"
"Clare Colleran Molloy","clare","clare colleran molloy"
"Conor Ryan","clare","conor ryan"
"David Griffin","clare","david griffin"
"Dinny Gould","clare","dinny gould"
"Gabriel Keating","clare","gabriel keating"
"Ian Lynch","clare","ian lynch"
"James Ryan","clare","james ryan"
"Joe Garrihy","clare","joe garrihy"
"Joe Killeen","clare","joe killeen"
"John Crowe","clare","john crowe"
"Mary Howard","clare","mary howard"
"Michael Begley","clare","michael begley"
"Michael Shannon","clare","michael shannon"
"Pat Burke","clare","pat burke"
"Pat Daly","clare","pat daly"
"Pat Hayes","clare","pat hayes"
"Patrick O'Gorman","clare","patrick o'gorman"
"Paul Murphy","clare","paul murphy"
"Rachel Hartigan","clare","rachel hartigan"
"Rita McInerney","clare","rita mcinerney"
"Shane Talty","clare","shane talty"
"Tom O'Callaghan","clare","tom o'callaghan"
"Tommy Guilfoyle","clare","tommy guilfoyle"
"Tony Mulcahy","clare","tony mulcahy"
"Tony O'Brien","clare","tony o'brien"
"Alan Coleman","cork","alan coleman"
"John Collins","cork","john collins"
