councillor_name
Alan Coleman
John Collins
John Michael Foley
Ann Bambury
Gillian Coughlan
Marie O'Sullivan
Danny Collins
Finbarr Harrington
Caroline Cronin
Patrick Gerard Murphy
Seamus McGrath
Ben Dalton-O'Sullivan
Jack White
Audrey Buckley
Una McCarthy
Eoghan Fahy
Sheila O'Callaghan
Anthony Barry
Sinead Sheppard
Cathal Rasmussen
Ger Curley
Dominic Finn
William O'Leary
Noel McCarthy
Frank O'Flynn
Deirdre O'Brien
Nelius Cotter
Peter O'Donoghue
Bernard Moynihan
John Paul O'Shea
Trish Murphy
Ian Doyle
Gobnait Moynihan
Michael Creed
Michael Looney
Eileen Lynch
Ted Lucey
Martin Coughlan
Tony O'Shea
Liam Madden
Eoghan Kenny
Gearoid Murphy
Pat Hayes
Mary Linehan Foley
Michael Hegarty
Patrick Mulcahy
Liam Quaide
Rory Cocking
Ann-Marie Ahern
John Buckley
Noel O'Donovan
Joe Carroll
Isobel Towse
Daniel Sexton
Deirdre Kelly
