councillor_name
Joy Beard
Jack Murray
Paul Canning
Terry Crossan
Fionnan Bradley
Ali Farren
Martin McDermott
Albert Doherty
Martin Farren
Jimmy Brogan
Niamh Kennedy
Manus Boyle
Michael McMahon
Noel Jordan
Micheal Naughton
Micheal Choilm Mac Giolla Easbuig
Michael McClafferty
Brian Carr
John Sheamais O Fearraigh
Denis McGee
Anthony Molloy
Donal Kelly
Tomas Sean Devine
Gerry McMonagle
Ciaran Brogan
Jimmy Kavanagh
Michael McBride
Donal Coyle
Gary Doherty
Martin Scanlon
Martin Harley
Frank McBrearty
Patrick McGowan
Dakota Nic Mheanman
Declan Meehan
Pauric McGarvey
Liam Blaney
