councillor_name
Ammar Ali
Daryl Barron
Racheal Batten
Emma Blain
Janice Boylan
Kevin Breen
Noelle Brown
Christy Burke
Claire Byrne
Danny Byrne
Lesley Byrne
Mary Callaghan
Hazel Chu
David Coffey
Anthony Connaghan
Fiona Connelly
Keith Connolly
Donna Cooney
Ray Cunningham
Hazel de Nortuin
Daithi Doolan
Pat Dunne
Daniel Ennis
Cian Farrell
Alison Field
Declan Flanagan
Mannix Flynn
Deirdre Heney
Jesslyn Henry
Rory Hogan
Janet Horner
Vincent Jackson
Feljin Jose
Leslie Kane
Kourtney Kenny
Patrick Kinsella
Dermot Lacey
John Lyons
Micheal MacDonncha
Aoibheann Mahon
Ray McAdam
Seamas McGrattan
Clodagh Ni Mhuiri
Paddy Monahan
Carolyn Moore
Edel Moran
Darragh Moriarty
Cat O'Driscoll
Colm O'Rourke
Gavin Pepper
Cieran Perry
Michael Pidgeon
Gayle Ralph
Punam Rane
Conor Reddy
Nial Ring
Aishling Silke
Supriya Singh
Karl Stanley
Malachy Steenson
John Stephens
Philip Sutcliffe
Ciaran O Meachair
