councillor_name
Marie Baker
Conor Dowling
Maurice Dockrell
Martha Fanning
Dan Carson
Michael Clark
Sean McLoughlin
Jim O'Leary
Shay Brennan
Anna Grainger
Peter O'Brien
Robert Jones
Anne Colgan
Lorraine Hall
Tom Kivlehan
Melissa Halpin
JP Durkan
Mary Fayne
Thomas Joseph
Justin Moylan
Michael Fleming
Lettie McCarthy
Oisin O'Connor
Pierce Dargan
Kazi Ahmed
Tom Murphy
Kevin Daly
Carrie Smyth
Jim Gildea
Frank McNamara
Hugh Lewis
Jacqueline Burke
Dave O'Keeffe
Lauren Tuite
Barry Saul
Maeve O'Connell
John Kennedy
Liam Dockery
Eva Elizabeth Dowling
John Hurley
