councillor_name
Tony Murphy
Grainne Maguire
Brendan Ryan
Tom O'Leary
Malachy Quinn
Breda Hanaphy
Mary McCamley
JK Onwumerah
John Burtchaell
Patrick Quinlan
Ted Leddy
John Walsh
Ruth Coppinger
Ellen Troy
Siobhan Shovlin
Eimear Carbone-Mangan
Joan Hopkins
Aoibhinn Tormey
Cathal Haughey
Jimmy Guerin
Brian McDonagh
Eoghan O'Brien
David Healy
Tania Doyle
Angela Donnelly
Kieran Dennison
Tom Kitt
Gerard Sheehan
Robert O'Donoghue
Corina Johnston
Eoghan Dockrell
Paul Mulville
Cathal Boland
Dean Mulligan
Darragh Butler
Luke Corkery
Joe Newman
James Humphreys
Darren Jack Kelly
Marian Buckley
