councillor_name
Albert Dolan
Tomas Grealish
David Collins
James Charity
Peter Feeney
Cillian Keane
Louis O'Hara
Michael Connolly
Declan Geraghty
Alan Harney
Evelyn Parsons
Dermot Connolly
Peter Keaveney
Thomas Welby
Seamus Walsh
Eileen Mannion
Gerry King
Noel Thomas
Padraig Mac An Iomaire
Tomas O Curraoin
Michael Leainde
Mairtin Lee
P.J. Murphy
Martina Kinane
Geraldine Donohue
Paul Killilea
Gerry Finnerty
Shane Curley
Jimmy McClean
Declan Kelly
Michael Maher
Ivan Canning
Andrew Reddington
Pete Roche
Mary Hoade
Shaun Cuniffe
Ollie Turner
Donagh Mark Killilea
Karey McHugh Farag
