councillor_name
Tommy Griffin
Robert Brosnan
Breandan Fitzgerald
Jackie Healy-Rae
Charlie Farrelly
Fionnan Fitzgerald
Bobby O'Connell
Johnny Healy-Rae
Michael Cahill
Norma Moriarty
Podge Foley
Dan McCarthy
Teddy O'Sullivan Casey
Maura Healy-Rae
Martin Grady
John O'Donoghue
Brendan Cronin
Niall Kelleher
Niall Botty O'Callaghan
Marie Moloney
Mike Kennelly
Liam Nolan
Michael Foley
Michael Leane
Tom Barry
Jimmy Moloney
Mikey Sheehy
Terry O'Brien
Deirdre Ferris
Sam Locke
Paul Daly
Anne O'Sullivan
Angie Baily
