councillor_name
Aoife Breslin
Ivan Keatley
Brian Dooley
Veralouise Behan
Mark Leigh
David Trost
Claire O'Rourke
Rupert Heather
Lumi Panaite Fahey
Brendan Wyse
Padraig McEvoy
Aidan Farrelly
William Durkan
Daragh Fitzpatrick
Suzanne Doyle
Kevin Duffy
Brian O'Loughlin
Pat Balfe
Shonagh Ni Raghallaigh
Joe Neville
Nuala Killeen
Bernard Caldwell
Naoise O Cearuil
Tim Durkan
Peter Melrose
Angela Feeney
Paul Ward
Bill Clear
Fintan Brett
Evie Sammon
Seamie Moore
Anne Breen
Carmel Kelly
Ger Dunne
Tracey O'Dwyer
Peggy O'Dwyer
Chris Pender
Noel Heavey
Tom McDonnell
Rob Power
