councillor_name
Stephen Keary
Adam Teskey
Bridie Collins
John O'Donoghue
Tommy Hartigan
Ger Ward
Brigid Teefy
Martin Ryan
Eddie Ryan
Noreen Stokes
George Conway
P.J. Carey
Tommy O'Sullivan
Daniel Butler
Dan McSweeney
Joe Leddin
Maria Donoghue
Fergus Kilcoyne
Elisa O'Donovan
Abul Kalam Azad Talukder
Connor Sheehan
Frankie Daly
Kieran O'Hanlon
Olivia O'Sullivan
Sarah Beasley
Sharon Benson
Shane Hickey-O'Mara
Sarah Kiely
Catherine Slattery
Peter Doyle
Joe Pond
Elena Secas
Ursula Gavin
Sean Hartigan
Jerome Scanlon
Liam Galvin
Michael Collins
Tom Ruddle
Francis Foley
John Sheahan
