councillor_name
Joe Bonner
Amanda Smith
Alan Tobin
Suzanne Jamal
Helen Meyer
Conor Tormey
Sarah Reilly
Eugene Cassidy
Sean Drew
Mike Bray
Peter Caffrey
Michael Gallagher
David Gilroy
Sharon Tolan
Paddy Meade
Geraldine Keogan
Stephen McKee
Wayne Harding
Maria White
Carol Lennon
Eddie Fennessy
Emer Toibin
Francis Deane
Yemi Adenuga
Padraig Fitzsimons
Alan Lawes
Linda Nelson Murray
Gillian Toole
Maria Murphy
Brian Fitzgerald
Caroline O'Reilly
Nick Killian
Fionnan Blake
Gerry O'Connor
Noel French
Joe Fox
Dave Boyne
Padraig Coffey
Aisling Dempsey
Ronan Moore
