name,party,panel
Garret Ahearn,Fine Gael,Administrative Panel
Chris Andrews,Sinn Féin,Labour Panel
Frances Black,Independent,Industrial and Commercial Panel
Niall Blaney,Fianna Fáil,Agricultural Panel
Victor Boyhan,Independent,Agricultural Panel
Manus Boyle,Fine Gael,Taoiseach Nominee
Nikki Bradley,Fine Gael,Taoiseach Nominee
Paraic Brady,Fine Gael,Agricultural Panel
Cathal Byrne,Fine Gael,Cultural and Educational Panel
Maria Byrne,Fine Gael,Agricultural Panel
Pat Casey,Fianna Fáil,Labour Panel
Lorraine Clifford-Lee,Fianna Fáil,Taoiseach Nominee
Tom Clonan,Independent,University of Dublin
Joanne Collins,Sinn Féin,Agricultural Panel
Alison Comyn,Fianna Fáil,Taoiseach Nominee
Joe Conway,Independent,Cultural and Educational Panel
Martin Conway,Fine Gael,Administrative Panel
Nessa Cosgrove,Labour Party,Labour Panel
Teresa Costello,Fianna Fáil,Agricultural Panel
Gerard Craughwell,Independent,Labour Panel
Ollie Crowe,Fianna Fáil,Industrial and Commercial Panel
Shane Curley,Fianna Fáil,Cultural and Educational Panel
Mark Daly,Fianna Fáil,Administrative Panel
Paul Daly,Fianna Fáil,Agricultural Panel
Aidan Davitt,Fianna Fáil,Industrial and Commercial Panel
Mark Duffy,Fine Gael,Labour Panel
Mary Fitzpatrick,Fianna Fáil,Taoiseach Nominee
Joe Flaherty,Fianna Fáil,Taoiseach Nominee
Eileen Flynn,Independent,Taoiseach Nominee
Robbie Gallagher,Fianna Fáil,Labour Panel
Imelda Goldsboro,Fianna Fáil,Taoiseach Nominee
Laura Harmon,Labour Party,Industrial and Commercial Panel
Alice-Mary Higgins,Independent,National University of Ireland
Garret Kelleher,Fine Gael,Industrial and Commercial Panel
Mike Kennelly,Fine Gael,Labour Panel
Sharon Keogan,Independent,Industrial and Commercial Panel
Seán Kyne,Fine Gael,Cultural and Educational Panel
Eileen Lynch,Fine Gael,Agricultural Panel
Aubrey McCarthy,Independent,University of Dublin
Maria McCormack,Sinn Féin,Labour Panel
Michael McDowell,Independent,National University of Ireland
Rónán Mullen,Independent,National University of Ireland
Conor Murphy,Sinn Féin,Industrial and Commercial Panel
Margaret Murphy O'Mahony,Fianna Fáil,Labour Panel
Evanne Ní Chuilinn,Fine Gael,Taoiseach Nominee
Linda Nelson Murray,Fine Gael,Industrial and Commercial Panel
Malcolm Noonan,Green Party,Agricultural Panel
Noel O'Donovan,Fine Gael,Taoiseach Nominee
Fiona O'Loughlin,Fianna Fáil,Administrative Panel
Joe O'Reilly,Fine Gael,Labour Panel
Sarah O'Reilly,Aontú,Agricultural Panel
Anne Rabbitte,Fianna Fáil,Administrative Panel
Lynn Ruane,Independent,University of Dublin
Dee Ryan,Fianna Fáil,Taoiseach Nominee
Nicole Ryan,Sinn Féin,Administrative Panel
Gareth Scahill,Fine Gael,Taoiseach Nominee
Patricia Stephenson,Social Democrats,Labour Panel
Pauline Tully,Sinn Féin,Cultural and Educational Panel
Diarmuid Wilson,Fianna Fáil,Administrative Panel
Barry Andrews,Fianna Fáil,Labour Panel
