name,party,constituency
Eoin Ó Broin,Sinn Féin,Dublin Mid-West
Naoise Ó Cearúil,Fianna Fáil,Kildare North
Seán Ó Fearghaíl,Fianna Fáil,Kildare South
Donnchadh Ó Laoghaire,Sinn Féin,Cork South-Central
Naoise Ó Muirí,Fine Gael,Dublin Bay North
Ruairí Ó Murchú,Sinn Féin,Louth
Fionntán Ó Súilleabháin,Sinn Féin,Wicklow-Wexford
Aengus Ó Snodaigh,Sinn Féin,Dublin South-Central
Ciarán Ahern,Labour Party,Dublin South-West
William Aird,Fine Gael,Laois
Catherine Ardagh,Fianna Fáil,Dublin South-Central
Ivana Bacik,Labour Party,Dublin Bay South
Cathy Bennett,Sinn Féin,Cavan-Monaghan
Grace Boland,Fine Gael,Dublin Fingal West
Richard Boyd Barrett,People Before Profit-Solidarity,Dún Laoghaire
Tom Brabazon,Fianna Fáil,Dublin Bay North
John Brady,Sinn Féin,Wicklow
Brian Brennan,Fine Gael,Wicklow-Wexford
Shay Brennan,Fianna Fáil,Dublin Rathdown
Colm Brophy,Fine Gael,Dublin South-West
James Browne,Fianna Fáil,Wexford
Pat Buckley,Sinn Féin,Cork East
Colm Burke,Fine Gael,Cork North-Central
Peter Burke,Fine Gael,Longford-Westmeath
Mary Butler,Fianna Fáil,Waterford
Paula Butterly,Fine Gael,Louth
Jerry Buttimer,Fine Gael,Cork South-Central
Joanna Byrne,Sinn Féin,Louth
Malcolm Byrne,Fianna Fáil,Wicklow-Wexford
Thomas Byrne,Fianna Fáil,Meath East
Michael Cahill,Fianna Fáil,Kerry
Holly Cairns,Social Democrats,Cork South-West
Catherine Callaghan,Fine Gael,Carlow-Kilkenny
Dara Calleary,Fianna Fáil,Mayo
Seán Canney,Independent,Galway East
Micheál Carrigy,Fine Gael,Longford-Westmeath
Jennifer Carroll MacNeill,Fine Gael,Dún Laoghaire
Matt Carthy,Sinn Féin,Cavan-Monaghan
Jack Chambers,Fianna Fáil,Dublin West
Sorca Clarke,Sinn Féin,Longford-Westmeath
Peter Cleere,Fianna Fáil,Carlow-Kilkenny
John Clendennen,Fine Gael,Offaly
Michael Collins,Independent Ireland,Cork South-West
Niall Collins,Fianna Fáil,Limerick County
Catherine Connolly,Independent,Galway West
John Connolly,Fianna Fáil,Galway West
Rose Conway-Walsh,Sinn Féin,Mayo
Joe Cooney,Fine Gael,Clare
Ruth Coppinger,Solidarity,Dublin West
Réada Cronin,Sinn Féin,Kildare North
Cathal Crowe,Fianna Fáil,Clare
Seán Crowe,Sinn Féin,Dublin South-West
David Cullinane,Sinn Féin,Waterford
Jen Cummins,Social Democrats,Dublin South-Central
John Cummins,Fine Gael,Waterford
Emer Currie,Fine Gael,Dublin West
Martin Daly,Fianna Fáil,Roscommon-Galway
Pa Daly,Sinn Féin,Kerry
Aisling Dempsey,Fianna Fáil,Meath West
Máire Devine,Sinn Féin,Dublin South-Central
Cormac Devlin,Fianna Fáil,Dún Laoghaire
Alan Dillon,Fine Gael,Mayo
Paschal Donohoe,Fine Gael,Dublin Central
Pearse Doherty,Sinn Féin,Donegal
Albert Dolan,Fianna Fáil,Galway East
Paul Donnelly,Sinn Féin,Dublin West
Timmy Dooley,Fianna Fáil,Clare
Dessie Ellis,Sinn Féin,Dublin North-West
Mairéad Farrell,Sinn Féin,Galway West
