name,party,council
Hedley Abernethy,Alliance Party,Belfast
Brónach Anglin,Sinn Féin,Belfast
Ciaran Beattie,Sinn Féin,Belfast
David Bell,Alliance Party,Belfast
Christina Black,Sinn Féin,Belfast
Christine Bower,Alliance Party,Belfast
Nichola Bradley,Sinn Féin,Belfast
Natasha Brennan,Sinn Féin,Belfast
Ruth Brooks,Democratic Unionist Party,Belfast
Tara Brooks,Alliance Party,Belfast
Sarah Bunting,Democratic Unionist Party,Belfast
Claire Canavan,Sinn Féin,Belfast
Arder Carson,Sinn Féin,Belfast
Fred Cobain,Democratic Unionist Party,Belfast
Michael Collins,People Before Profit Alliance,Belfast
Sonia Copeland,Ulster Unionist Party,Belfast
Séamas de Faoite,Social Democratic and Labour Party,Belfast
Paul Doherty,Social Democratic and Labour Party,Belfast
Micheal Donnelly,Sinn Féin,Belfast
Pádraig Donnelly,Sinn Féin,Belfast
Róis-Máire Donnelly,Sinn Féin,Belfast
Jordan Doran,Democratic Unionist Party,Belfast
Davy Douglas,Democratic Unionist Party,Belfast
Sammy Douglas,Democratic Unionist Party,Belfast
Joe Duffy,Sinn Féin,Belfast
Bradley Ferguson,Democratic Unionist Party,Belfast
Anthony Flynn,Green Party,Belfast
Matt Garrett,Sinn Féin,Belfast
Áine Groogan,Green Party,Belfast
Eric Hanvey,Alliance Party,Belfast
Tracy Kelly,Democratic Unionist Party,Belfast
James Lawlor,Democratic Unionist Party,Belfast
Michael Long,Alliance Party,Belfast
Donal Lyons,Social Democratic and Labour Party,Belfast
JJ Magee,Sinn Féin,Belfast
Jenna Maghie,Alliance Party,Belfast
Fiona McAteer,Alliance Party,Belfast
Áine McCabe,Sinn Féin,Belfast
Siobhán McCallin,Sinn Féin,Belfast
Caoimhín McCann,Sinn Féin,Belfast
Andrew McCormick,Democratic Unionist Party,Belfast
Frank McCoubrey,Democratic Unionist Party,Belfast
Dean A. McCullough,Democratic Unionist Party,Belfast
Paul McCusker,Independent,Belfast
Emmet McDonough-Brown,Alliance Party,Belfast
Ron McDowell,Traditional Unionist Voice,Belfast
Conor McKay,Sinn Féin,Belfast
Gary McKeown,Social Democratic and Labour Party,Belfast
Ian McLaughlin,Democratic Unionist Party,Belfast
Ronan McLaughlin,Sinn Féin,Belfast
Luke Meenehan,Sinn Féin,Belfast
Ryan Murphy,Sinn Féin,Belfast
Micky Murray,Alliance Party,Belfast
Sam Nelson,Alliance Party,Belfast
Tomás Ó Néill,Sinn Féin,Belfast
Jim Rodgers,Ulster Unionist Party,Belfast
Brian Smyth,Green Party,Belfast
Nicola Verner,Democratic Unionist Party,Belfast
Séanna Walsh,Sinn Féin,Belfast
Carl Whyte,Social Democratic and Labour Party,Belfast
Andrew McAuley,Alliance Party,Antrim and Newtownabbey
Maighréad Ní Chonghaile,Sinn Féin,Antrim and Newtownabbey
Paul Michael,Independent,Antrim and Newtownabbey
Matthew Magill,Democratic Unionist Party,Antrim and Newtownabbey
Anne-Marie Logue,Sinn Féin,Antrim and Newtownabbey
Lucille O'Hagan,Sinn Féin,Antrim and Newtownabbey
John Smyth,Democratic Unionist Party,Antrim and Newtownabbey
Roisin Lynch,Social Democratic and Labour Party,Antrim and Newtownabbey
Leah Smyth,Ulster Unionist Party,Antrim and Newtownabbey
Paul Dunlop,Democratic Unionist Party,Antrim and Newtownabbey
Neil Kelly,Alliance Party,Antrim and Newtownabbey
Jeannie Archibald-Brown,Democratic Unionist Party,Antrim and Newtownabbey
Lewis Boyle,Alliance Party,Antrim and Newtownabbey
Helen Magill,Democratic Unionist Party,Antrim and Newtownabbey
Vera McWilliam,Ulster Unionist Party,Antrim and Newtownabbey
Michael Stewart,Independent,Antrim and Newtownabbey
