name,party,constituency
Steve Aiken,Ulster Unionist Party,South Antrim
Andy Allen,Ulster Unionist Party,Belfast East
Caoimhe Archibald,Sinn Féin,East Londonderry
Diana Armstrong,Ulster Unionist Party,Fermanagh and South Tyrone
Kellie Armstrong,Alliance Party,Strangford
Danny Baker,Sinn Féin,Belfast West
Doug Beattie,Ulster Unionist Party,Upper Bann
John Blair,Alliance Party,South Antrim
Cathal Boylan,Sinn Féin,Newry and Armagh
Maurice Bradley,Democratic Unionist Party,East Londonderry
Paula Bradshaw,Alliance Party,Belfast South
Phillip Brett,Democratic Unionist Party,Belfast North
Nicola Brogan,Sinn Féin,West Tyrone
David Brooks,Democratic Unionist Party,Belfast East
Cheryl Brownlee,Democratic Unionist Party,East Antrim
Keith Buchanan,Democratic Unionist Party,Mid Ulster
Tom Buchanan,Democratic Unionist Party,West Tyrone
Jonathan Buckley,Democratic Unionist Party,Upper Bann
Joanne Bunting,Democratic Unionist Party,Belfast East
Jon Burrows,Ulster Unionist Party,North Antrim
Robbie Butler,Ulster Unionist Party,Lagan Valley
Pam Cameron,Democratic Unionist Party,South Antrim
Gerry Carroll,People Before Profit Alliance,Belfast West
Alan Chambers,Ulster Unionist Party,North Down
Trevor Clarke,Democratic Unionist Party,South Antrim
Colin Crawford,Ulster Unionist Party,North Antrim
Pádraig Delargy,Sinn Féin,Foyle
Stewart Dickson,Alliance Party,East Antrim
Linda Dillon,Sinn Féin,Mid Ulster
Diane Dodds,Democratic Unionist Party,Upper Bann
Jemma Dolan,Sinn Féin,Fermanagh and South Tyrone
Danny Donnelly,Alliance Party,East Antrim
Stephen Dunne,Democratic Unionist Party,North Down
Mark Durkan,Social Democratic and Labour Party,Foyle
Connie Egan,Alliance Party,North Down
Tom Elliott,Ulster Unionist Party,Fermanagh and South Tyrone
Sinéad Ennis,Sinn Féin,South Down
Deborah Erskine,Democratic Unionist Party,Fermanagh and South Tyrone
Ciara Ferguson,Sinn Féin,Foyle
Aoife Finnegan,Sinn Féin,Newry and Armagh
Órlaithí Flynn,Sinn Féin,Belfast West
Diane Forsythe,Democratic Unionist Party,South Down
Paul Frew,Democratic Unionist Party,North Antrim
Timothy Gaston,Traditional Unionist Voice,North Antrim
Colm Gildernew,Sinn Féin,Fermanagh and South Tyrone
Paul Givan,Democratic Unionist Party,Lagan Valley
Michelle Guy,Alliance Party,Lagan Valley
Deirdre Hargey,Sinn Féin,Belfast South
Harry Harvey,Democratic Unionist Party,Strangford
David Honeyford,Alliance Party,Lagan Valley
Cara Hunter,Social Democratic and Labour Party,East Londonderry
William Irwin,Democratic Unionist Party,Newry and Armagh
Declan Kearney,Sinn Féin,South Antrim
Gerry Kelly,Sinn Féin,Belfast North
Liz Kimmins,Sinn Féin,Newry and Armagh
Brian Kingston,Democratic Unionist Party,Belfast North
Emma Little-Pengelly,Democratic Unionist Party,Lagan Valley
Naomi Long,Alliance Party,Belfast East
Gordon Lyons,Democratic Unionist Party,East Antrim
Peter Martin,Democratic Unionist Party,North Down
Cathy Mason,Sinn Féin,South Down
Nick Mathison,Alliance Party,Strangford
Declan McAleer,Sinn Féin,West Tyrone
Nuala McAllister,Alliance Party,Belfast North
Daniel McCrossan,Social Democratic and Labour Party,West Tyrone
Patsy McGlone,Social Democratic and Labour Party,Mid Ulster
Colin McGrath,Social Democratic and Labour Party,South Down
Philip McGuigan,Sinn Féin,North Antrim
Maolíosa McHugh,Sinn Féin,West Tyrone
Michelle McIlveen,Democratic Unionist Party,Strangford
Sinéad McLaughlin,Social Democratic and Labour Party,Foyle
Andrew McMurray,Alliance Party,South Down
Justin McNulty,Social Democratic and Labour Party,Newry and Armagh
Peter McReynolds,Alliance Party,Belfast East
Gary Middleton,Democratic Unionist Party,Foyle
Andrew Muir,Alliance Party,North Down
Sian Mulholland,Alliance Party,North Antrim
Áine Murphy,Sinn Féin,Fermanagh and South Tyrone
Conor Murphy,Sinn Féin,Newry and Armagh
Mike Nesbitt,Ulster Unionist Party,Strangford
Carál Ní Chuilín,Sinn Féin,Belfast North
Kate Nicholl,Alliance Party,Belfast South
John O'Dowd,Sinn Féin,Upper Bann
Michelle O'Neill,Sinn Féin,Mid Ulster
Matthew O'Toole,Social Democratic and Labour Party,Belfast South
Edwin Poots,Democratic Unionist Party,Belfast South
Aisling Reilly,Sinn Féin,Belfast West
Alan Robinson,Democratic Unionist Party,East Londonderry
Pat Sheehan,Sinn Féin,Belfast West
Emma Sheerin,Sinn Féin,Mid Ulster
John Stewart,Ulster Unionist Party,East Antrim
Claire Sugden,Independent,East Londonderry
Eóin Tennyson,Alliance Party,Upper Bann
