councillor_name
Francis Timmons
William Carey
Darragh Adelaide
Eoin O Broin
Shirley O'Hara
Linda De Courcy
Trevor Gilligan
Alan Edge
Brian Lawlor
Emma Murphy
Sarah Barnes
Roisin Mannion
Paul Gogarty
Vikki Casserly
Liona O'Toole
Joanna Tuffy
Caroline Brady
Shane Moynihan
Alan Hayes
Niamh Fennel
Glen Moore
Madeleine Johansson
Ronan McMahon
Pamela Kearns
Ciaran Ahern
Yvonne Collins
Lynn McCrave
David McManus
Justin Sinnott
Patrick Pearse Holohan
Baby Pereppadan
Dermot Richardson
Kay Keane
Louise Dunne
Mick Duff
Teresa Costello
Britto Pereppadan
Niamh Whelan
Jess Spear
Dean Donnelly
