councillor_name
Mairin McGrath
Andy Moloney
Marie Murphy
Micheal Anglim
Imelda Goldsboro
David Dunne
Michael Brennan
Kieran Bourke
Mark FitzGerald
John O'Heney
Declan Burgess
Liam Browne
Hanna Mary Hourigan
Roger Kennedy
John Crosse
Annemarie Ryan
Michael Murphy
Pat English
Siobhan Ambrose
John Fitzgerald
Richie Molloy
Niall P Dennehy
Joe Hannigan
Michael O'Meara
Ryan O'Meara
Louise Morgan Walsh
Seamus Morris
Fiona Bonfield
Pamela Quirke O'Meara
Phyll Bugler
John Carroll
Michael Smith
Shane Lee
Eddie Moran
William Kennedy
Jim Ryan
Micheal Lowry
Sean Ryan
Kay Cahill Skehan
Peggy Ryan
