title,url,date_guess
Agenda - Special Meeting of Wexford county Council (Presidential Election) 19th September 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_Special_Meeting_Wexford_County_Council_(Presidential_Election)2025September19.pdf,19th September 2025
Agenda - Wexford County Council Meeting - 8th September 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting2025Sept8.pdf,8th September 2025
Agenda - Wexford County Council Meeting - 14th July 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting2025July14.pdf,14th July 2025
Agenda - Annual Meeting of Wexford County Council - 23rd June 2025,https://www.wexfordcoco.ie/sites/default/files/content/Annual_Meeting_Wexford_County_Council2025June23.pdf,23rd June 2025
Agenda - Special Meeting of Wexford County Council (Casual Vacancy) 9th June 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_Special_Meeting_Wexford_County_Council_Casual_Vacancy_2025June9.pdf,9th June 2025
Agenda - Wexford County Council Meeting - 9th June 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_Wexford_County_Council2025June9.pdf,9th June 2025
Agenda - Wexford County Council Meeting - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting2025May12.pdf,12th May 2025
Agenda - Special Meeting of Wexford County Council (Housing) - 6th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_Special_Meeting_Wexford_County_Council_Housing2025May6.pdf,6th May 2025
Agenda - Wexford County Council Meeting - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting_2025April14.pdf,14th April 2025
Agenda - Wexford County Council Meeting - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting_2025Mar10.pdf,10th March 2025
Agenda - Wexford County Council Meeting - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting_2025Feb10.pdf,10th February 2025
Agenda - Wexford County Council Meeting - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/Agenda_County_Council_Meeting2025Jan13_0.pdf,13th January 2025
Agenda - Special Meeting of Wexford County Council - 16th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Agenda_Special_County_Council_Meeting_20241216.pdf,16th December 2024
"Agenda - Wexford County Council Meeting - 9th December, 2024",https://www.wexfordcoco.ie/sites/default/files/content/Agenda_Wexford_County_Council_20241290.pdf,2024
"Agenda - Wexford County Council Statutory Budget Meeting - 25th November, 2024",https://www.wexfordcoco.ie/sites/default/files/content/Agenda_Statutory_Budget_Meeting_20241125.pdf,2024
Agenda - Wexford County Council Meeting - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Agenda_County_Council_Meeting_20241111.pdf,11th November 2024
