meeting_title,source_url,text_snippet
Agenda - Wexford County Council Meeting - 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Planning/Council-Meeting-Minutes-28.03.2022.pdf,"Cllr. M Bell, the Council unanimously resolved that the proposed"
Agenda - Wexford County Council Meeting - 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Planning/Council-Meeting-Minutes-28.03.2022.pdf,"Cllr. J. Sullivan, the Council unanimously resolved that the proposed"
Agenda - Wexford County Council Meeting - 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Planning/Council-Meeting-Minutes-28.03.2022.pdf,Cllr. M Sheehan the Council unanimously resolved that the proposed
Agenda - Wexford County Council Meeting - 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Planning/Council-Meeting-Minutes-28.03.2022.pdf,"G. Lawlor, seconded by Cllr. M. Bell, the Council unanimously resolved that"
Agenda - Wexford County Council Meeting - 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Planning/Council-Meeting-Minutes-28.03.2022.pdf,"C. Byrne, the Council unanimously resolved that the lease proceed in"
"County Council Meeting Minutes - 14th July, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_July_Meeting_Wexford_County_Council_14_07_25.pdf,"On the proposal of Cllr. G. Carthy, seconded by Cllr. V. Barron the Council resolved to"
"County Council Meeting Minutes - 14th July, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_July_Meeting_Wexford_County_Council_14_07_25.pdf,"On the proposal of Cllr. O. Walsh, seconded by Cllr. B.A. Murphy the Council resolved to"
"County Council Meeting Minutes - 14th July, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_July_Meeting_Wexford_County_Council_14_07_25.pdf,"On the proposal of Cllr. A. Donohoe, seconded by Cllr. J. Fleming the Council resolved to"
"County Council Meeting Minutes - 14th July, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_July_Meeting_Wexford_County_Council_14_07_25.pdf,"On the proposal of Cllr. G. Carthy, seconded by Cllr. A.R. O’Brien the Council resolved to"
"County Council Meeting Minutes - 14th July, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_July_Meeting_Wexford_County_Council_14_07_25.pdf,"On the proposal of Cllr. O. Walsh, seconded by Cllr. B.A. Murphy the Council resolved to"
"County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_June_Meeting_Wexford_County_Council_09_06_25.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. O. Walsh the Council resolved to"
"County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_June_Meeting_Wexford_County_Council_09_06_25.pdf,"On the proposal of Cllr .B. Murphy, seconded by Cllr. J. Fleming the Council resolved to"
"County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_June_Meeting_Wexford_County_Council_09_06_25.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. B. Murphy the Council resolved to"
"County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_June_Meeting_Wexford_County_Council_09_06_25.pdf,"On the proposal of Cllr. L. Kelly, seconded by Cllr. R. Staples the Council resolved to dispose"
"County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_June_Meeting_Wexford_County_Council_09_06_25.pdf,"On the proposal of Cllr. R. Staples, seconded by Cllr. V. Barron, the Council resolved to"
County Council Meeting Minutes - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_12_05_25_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. M. Sheehan the Council resolved to"
County Council Meeting Minutes - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_12_05_25_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. J. Fleming the Council resolved to"
County Council Meeting Minutes - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_12_05_25_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. P. Kehoe the Council resolved to"
County Council Meeting Minutes - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_12_05_25_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. P. Kehoe the Council resolved to"
County Council Meeting Minutes - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_12_05_25_Minutes.pdf,"On the proposal of Cllr. C. Walsh, seconded by Cllr. R. Staples the Council resolved to"
County Council Meeting Minutes - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_14_04_25_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. J. Fleming the Council resolved to"
County Council Meeting Minutes - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_14_04_25_Minutes.pdf,"On the proposal of Cllr. T. Forde, seconded by Cllr. R. Shannon the Council resolved to"
County Council Meeting Minutes - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_14_04_25_Minutes.pdf,"On the proposal of Cllr. A. Browne, seconded by Cllr. B.A. Murphy the Council resolved to"
County Council Meeting Minutes - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_14_04_25_Minutes.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. B. Murphy the Council resolved to"
County Council Meeting Minutes - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_14_04_25_Minutes.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. B. Murphy the Council resolved to"
County Council Meeting Minutes - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_03_25_Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Sullivan the Council resolved to"
County Council Meeting Minutes - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_03_25_Minutes.pdf,"On the proposal of Cllr. J. Codd, seconded by Cllr. A.R. O’Brien the Council resolved to lease"
County Council Meeting Minutes - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_03_25_Minutes.pdf,"On the proposal of Cllr. A. Donohoe, seconded by Cllr. O. Walsh the Council resolved to"
County Council Meeting Minutes - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_03_25_Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Owens, the Council resolved to"
County Council Meeting Minutes - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_03_25_Minutes.pdf,"the Council resolved to adopt the proposed changes to Standing Order No.’s 29, 55, 56, 61,"
County Council Meeting Minutes - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_02_25_Minutes_0.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. J. Sullivan the Council resolved to"
County Council Meeting Minutes - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_02_25_Minutes_0.pdf,"On the proposal of Cllr. L. Kelly, seconded by Cllr. M. Sheehan the Council resolved to"
County Council Meeting Minutes - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_02_25_Minutes_0.pdf,"On the proposal of Cllr. L. Kelly, seconded by Cllr. R. Staples the Council resolved to lease"
County Council Meeting Minutes - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_02_25_Minutes_0.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. A.R. O’Brien the Council resolved to"
County Council Meeting Minutes - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_02_25_Minutes_0.pdf,"On the proposal of Cllr. J. Sullivan, seconded by Cllr. A. Donohoe, the Council resolved to"
County Council Meeting Minutes - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_13_01_25_Minutes_0.pdf,"Cllr. T. Forde seconded by Cllr. A.R. O’Brien, it was agreed that the working group as outlined"
County Council Meeting Minutes - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_13_01_25_Minutes_0.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. O. Walsh the Council resolved to"
County Council Meeting Minutes - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_13_01_25_Minutes_0.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. B.A. Murphy the Council resolved to"
County Council Meeting Minutes - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_13_01_25_Minutes_0.pdf,candidate or their family would nominate the replacement. It was agreed that this matter
County Council Meeting Minutes - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_13_01_25_Minutes_0.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. B.A. Murphy the Council resolved to"
