meeting_file,meeting_title,meeting_date,councillor,status
Annual-Meeting-Minutes-28th-June-2021,Annual County Council Meeting Minutes 28th June 2021,2021-06-28,Bell Barden,present
Annual-Meeting-Minutes-28th-June-2021,Annual County Council Meeting Minutes 28th June 2021,2021-06-28,Breen Bolger,present
Annual-Meeting-Minutes-28th-June-2021,Annual County Council Meeting Minutes 28th June 2021,2021-06-28,Byrne Browne,present
Annual-Meeting-Minutes-28th-June-2021,Annual County Council Meeting Minutes 28th June 2021,2021-06-28,Codd-Nolan Codd,present
Annual-Meeting-Minutes-28th-June-2021,Annual County Council Meeting Minutes 28th June 2021,2021-06-28,Devereux Connick,present
Council%20Minutes%202016,Council Minutes 2016,2016-01-01,Etc Wbc,present
Council%20Minutes%202016,Council Minutes 2016,2016-01-01,Ofm O'K,present
Council%20Minutes%202016,Council Minutes 2016,2016-01-01,Spc Lcdc,present
Council-Meeting-12Feb-2018,Council minutes 12 February 2018,2018-02-12,Aib Gaa,present
Council-Meeting-12Feb-2018,Council minutes 12 February 2018,2018-02-12,Of Business,present
Council-Meeting-12Feb-2018,Council minutes 12 February 2018,2018-02-12,The Concluded,present
Council-Meeting-12Mar18,Council minutes 12 March 2018,2018-03-12,Cpg Spc,present
Council-Meeting-12Mar18,Council minutes 12 March 2018,2018-03-12,Of Business,present
Council-Meeting-12Mar18,Council minutes 12 March 2018,2018-03-12,The Concluded,present
CouncilMinutes2009,Council Minutes 2009,2009-01-01,Dr Dr,present
CouncilMinutes2012,Council Minutes 2012,2012-01-01,Ida Ida,present
CouncilMinutes2012,Council Minutes 2012,2012-01-01,Ida O'C,present
CouncilMinutes2013,Council Minutes 2013,2013-01-01,Gva Gva,present
CouncilMinutes2014,Council Minutes 2014,2014-01-01,Ailg Lama,present
CouncilMinutes2014,Council Minutes 2014,2014-01-01,Hgv' Td,present
CouncilMinutes2014,Council Minutes 2014,2014-01-01,Vat Td,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Aidan Browne,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Aidan Pip,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Andrew Bolger,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Andrew Maura,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Anthony Diarmuid,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Anthony Donohoe,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Anthony Kathleen,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,As As,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Barbara-Anne Jim,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Barden Candidate,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Bell Barden,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Bell Mcdonald,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Bolger Bell,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Breen Bolger,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Bridin Barbara-Anne,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Bridin Murphy,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Browne Breen,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Business The,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Byrne Browne,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Byrne On-Line,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Candidate Councillor,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Carthy Byrne,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Carthy David,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Cathal Aidan,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Codd Carthy,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Codd-Nolan Codd,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Codd-Nolan Frank,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Concluded This,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Connick Codd-Nolan,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,David John,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Devereux Connick,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Devereux Joe,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Diarmuid Anthony,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Donal Leonard,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Donohoe Devereux,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Farrell Donohoe,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Farrell Maura,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Fionntain O'Suilleabhain,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Fleming Farrell,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Forde Fleming,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Frank Michael,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Gary Donal,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,George Gary,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Ger Cathal,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Ger Codd,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Hegarty Forde,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Hynes Cathal,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Hynes Hegarty,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Jackser Whelan,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Jim Ger,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Jim Lisa,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Joe Frank,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,John Bridin,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,John Fleming,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,John Hegarty,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,John Mary,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,John O'Rourke,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,John Tom,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kathleen Jim,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kavanagh Hynes,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kavanagh Jim,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kelly Kavanagh,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kelly Michael,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kenny Kathleen,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Kenny Kelly,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Laffan Kenny,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Laffan Michael,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Lawlor Diarmuid,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Lawlor Laffan,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Leas-Cathaoirleach Councillor,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Leonard Willie,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Lisa George,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Mary Anthony,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Maura Pat,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Mcdonald Lawlor,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Michael Jackser,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Michael Oliver,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Moore Mary,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Moore Mcdonald,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Murphy John,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Murphy Murphy,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,O'Rourke Murphy,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,O'Suilleabhain O'Rourke,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Oliver Joe,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Owens Fionntain,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Pat Barden,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Pat Moore,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Pip Andrew,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Pip Breen,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Sheehan Owens,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Sheehan Willie,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Staples Lawlor,present
