councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded
Pat Barden,42,0,6,27
Anthony Donohoe,41,0,51,59
Donal Kenny,36,1,4,35
Aidan Browne,33,3,19,23
Jim Moore,33,10,80,79
Kathleen Codd-Nolan,33,1,14,18
Leonard Kelly,33,6,36,46
John Hegarty,32,5,55,52
Michael Sheehan,32,20,302,185
David Hynes,31,7,69,94
Joe Sullivan,31,3,39,41
John Fleming,31,18,73,70
Mary Farrell,31,3,35,72
Michael Whelan,31,8,49,59
Pip Breen,31,6,71,95
Tom Forde,30,26,86,45
Willie Kavanagh,30,4,13,31
Oliver Walsh,28,7,36,74
Anthony Connick,27,3,23,44
Diarmuid Devereux,27,1,0,0
Maura Bell,27,3,17,39
Gary Laffan,26,0,19,27
John O'Rourke,26,1,42,32
Cathal Byrne,25,2,0,0
Fionntain O'Suilleabhain,25,1,4,1
Andrew Bolger,24,2,10,9
George Lawlor,23,5,109,103
Lisa Mcdonald,23,9,47,39
Jackser Owens,20,5,4,31
Codd Carthy,19,0,2,5
Jim Ger,19,0,0,0
Frank Staples,18,6,6,21
Bridin Murphy,16,3,160,116
Barbara-Anne Murphy,12,3,0,0
Ger Codd,11,0,0,0
Codd Byrne,10,0,0,0
Kavanagh Cathal,10,0,0,0
Barbara Murphy,9,0,0,0
Bolger Murphy,9,0,0,0
In Illeabh,9,0,0,0
O'Rourke John,9,0,0,0
Bell Mcdonald,8,0,2,1
Browne John,8,0,0,0
Farrell Maura,8,0,0,0
Fleming Andrew,8,0,0,0
Jim Lisa,8,0,0,0
Murphy John,8,0,0,0
Bell Barden,7,0,2,0
Bolger Bell,7,0,2,0
Forde Pip,7,0,0,0
Hynes Cathal,7,0,0,0
Jim Jackser,7,0,0,0
Kenny Kathleen,7,0,0,0
Moore Mary,7,0,0,0
Owens Willie,7,0,0,0
Whelan Lisa,7,0,0,0
Anne Barbara,6,0,0,0
Codd-Nolan Codd,6,0,78,113
Garry Laffan,6,4,0,0
Hegarty Aidan,6,0,0,0
Laffan Anthony,6,0,0,0
Of Business,6,0,0,0
Sullivan Donal,6,0,0,0
The Concluded,6,0,0,0
Walsh Gary,6,0,0,0
Breen Bridin,5,0,0,0
Byrne Browne,5,0,9,1
Concluded This,5,2,0,0
Fionnt In,5,0,0,0
Forde Andrew,5,0,0,0
Kavanagh Jim,5,0,0,0
Lawlor Diarmuid,5,0,0,0
O'Rourke Tom,5,0,0,0
Pip Andrew,5,0,0,0
Sheehan David,5,0,0,0
Staples Leonard,5,0,0,0
The Of,5,2,0,0
Walsh George,5,0,0,0
Whelan George,5,0,0,0
Anthony Conncik,4,0,1,1
Breen Bolger,4,0,0,0
Brid Barbara-Anne,4,0,0,0
Brid Murphy,4,0,0,0
Browne Breen,4,0,1,2
Business The,4,2,0,0
Byrne Fionntain,4,0,0,0
Carthy Byrne,4,0,249,148
Cathal Aidan,4,0,0,0
Codd-Nolan Frank,4,0,0,0
Connick Michael,4,0,0,0
Devereux Joe,4,0,0,0
Hegarty Pip,4,0,0,0
Hynes Aidan,4,0,0,0
Jim Codd,4,7,16,34
John Bridin,4,0,0,0
Laffan Kathleen,4,0,0,0
Mcdonald Anthony,4,0,0,0
Michael Jackser,4,0,0,0
Michael Oliver,4,0,0,0
Murphy Mary,4,0,0,0
O'Rourke Murphy,4,0,0,0
Sheehan Willie,4,0,0,0
Walsh Donal,4,0,0,0
Andrew Maura,3,0,0,0
Barbara-Anne Jim,3,0,0,0
Bolger John,3,0,0,0
Bridin Barbara-Anne,3,0,0,0
Byrne Jackser,3,0,0,0
Carthy Jackser,3,0,0,0
Carthy Michael,3,0,0,0
Cathal Codd,3,0,0,0
Codd-Nolan Michael,3,0,0,0
Codd-Nolan Oliver,3,0,0,0
Connick Frank,3,0,0,0
Devereux Connick,3,0,0,1
Devereux Oliver,3,0,0,0
Donohoe Oliver,3,0,0,0
Farrell Donohoe,3,0,0,0
Fleming John,3,0,0,0
Forde Tom,3,0,0,0
Joe Frank,3,0,0,0
Kelly Michael,3,0,0,0
Kenny Jim,3,0,0,0
Kenny Joe,3,0,0,0
Maura Pat,3,0,0,0
Mcdonald Diarmuid,3,0,0,0
Michael Joe,3,0,0,0
O'Suilleabhain David,3,0,0,0
Sheehan Owens,3,0,0,0
Staples Donal,3,0,0,0
Sullivan Gary,3,0,0,0
Sullivan Willie,3,0,0,0
Walsh Sullivan,3,0,1,0
Whelan Garry,3,0,0,0
Aidan Pip,2,0,0,0
Anthony Fleming,2,0,0,0
As As,2,0,0,0
Barbara O'Rourke,2,0,0,0
Bell Murphy,2,0,0,0
Bolger Bridin,2,0,0,0
Breen John,2,0,0,0
Bridin Anne,2,0,1,4
Browne Jackser,2,0,0,0
Byrne Michael,2,0,0,0
Carthy Frank,2,0,0,0
Carthy Staples,2,0,0,0
Codd-Nolan Jim,2,0,0,0
Codd-Nolan Lisa,2,0,0,0
Connick Joe,2,0,0,0
Devereux Michael,2,0,0,0
Farrell Mary,2,0,0,0
Fleming Maura,2,0,0,0
