variation,canonical_name
"Codd Carthy","Ger Codd"
"Codd Carthy","Ger Carthy"
"Kavanagh Cathal","Willie Kavanagh"
"Kavanagh Cathal","Cathal Byrne"
"Bolger Murphy","Andrew Bolger"
"Bolger Murphy","Bridin Murphy"
"Bell Mcdonald","Maura Bell"
"Bell Mcdonald","Lisa McDonald"
"Browne John","Aidan Browne"
"Browne John","John Hegarty"
"Farrell Maura","Mary Farrell"
"Farrell Maura","Maura Bell"
"Fleming Andrew","John Fleming"
"Fleming Andrew","Andrew Bolger"
"Jim Lisa","Jim Moore"
"Jim Lisa","Lisa McDonald"
"Murphy John","Bridin Murphy"
"Murphy John","John Hegarty"
"Bell Barden","Maura Bell"
"Bell Barden","Pat Barden"
"Bolger Bell","Andrew Bolger"
"Bolger Bell","Maura Bell"
"Forde Pip","Tom Forde"
"Forde Pip","Pip Breen"
"Hynes Cathal","David Hynes"
"Hynes Cathal","Cathal Byrne"
"Jim Jackser","Jim Moore"
"Jim Jackser","Jackser Owens"
"Kenny Kathleen","Donal Kenny"
"Kenny Kathleen","Kathleen Codd-Nolan"
"Moore Mary","Jim Moore"
"Moore Mary","Mary Farrell"
"Owens Willie","Jackser Owens"
"Owens Willie","Willie Kavanagh"
"Whelan Lisa","Michael Whelan"
"Whelan Lisa","Lisa McDonald"
"Anne Barbara","Barbara-Anne Murphy"
"Codd-Nolan Codd","Kathleen Codd-Nolan"
"Codd-Nolan Codd","Ger Codd"
"Hegarty Aidan","John Hegarty"
"Hegarty Aidan","Aidan Browne"
"Laffan Anthony","Gary Laffan"
"Laffan Anthony","Anthony Connick"
"Sullivan Donal","Joe Sullivan"
"Sullivan Donal","Donal Kenny"
"Walsh Gary","Oliver Walsh"
"Walsh Gary","Gary Laffan"
"Breen Bridin","Pip Breen"
"Breen Bridin","Bridin Murphy"
"Byrne Browne","Cathal Byrne"
"Byrne Browne","Aidan Browne"
"Forde Andrew","Tom Forde"
"Forde Andrew","Andrew Bolger"
"Kavanagh Jim","Willie Kavanagh"
"Kavanagh Jim","Jim Moore"
"Lawlor Diarmuid","George Lawlor"
"Lawlor Diarmuid","Diarmuid Devereux"
"O'Rourke Tom","John O'Rourke"
"O'Rourke Tom","Tom Forde"
"Pip Andrew","Pip Breen"
"Pip Andrew","Andrew Bolger"
"Sheehan David","Michael Sheehan"
"Sheehan David","David Hynes"
"Staples Leonard","Frank Staples"
"Staples Leonard","Leonard Kelly"
"Walsh George","Oliver Walsh"
"Walsh George","George Lawlor"
"Whelan George","Michael Whelan"
"Whelan George","George Lawlor"
"Anthony Conncik","Anthony Connick"
"Breen Bolger","Pip Breen"
"Breen Bolger","Andrew Bolger"
"Brid Barbara-Anne","Bridin Murphy"
"Brid Barbara-Anne","Barbara-Anne Murphy"
"Brid Murphy","Bridin Murphy"
"Browne Breen","Aidan Browne"
"Browne Breen","Pip Breen"
"Byrne Fionntain","Cathal Byrne"
"Byrne Fionntain","Fionntain O'Suilleabhain"
"Carthy Byrne","Ger Carthy"
"Carthy Byrne","Cathal Byrne"
"Cathal Aidan","Cathal Byrne"
"Cathal Aidan","Aidan Browne"
"Codd-Nolan Frank","Kathleen Codd-Nolan"
"Codd-Nolan Frank","Frank Staples"
"Connick Michael","Anthony Connick"
"Connick Michael","Michael Whelan"
"Devereux Joe","Diarmuid Devereux"
"Devereux Joe","Joe Sullivan"
"Hegarty Pip","John Hegarty"
"Hegarty Pip","Pip Breen"
"Hynes Aidan","David Hynes"
"Hynes Aidan","Aidan Browne"
"Jim Codd","Jim Moore"
"Jim Codd","Ger Codd"
"John Bridin","John Hegarty"
"John Bridin","Bridin Murphy"
"Laffan Kathleen","Gary Laffan"
