councillor_name
Joe Sullivan
Oliver Walsh
Barbara-Anne Murphy
Donal Kenny
John Dwyer
Ger Carthy
Garry Laffan
Pat Kehoe
Anthony Donohoe
John Fleming
Lisa McDonald
Raymond Shannon
Pat Barden
Vicky Barron
Nicky Boland
Pip Breen
Aidan Browne
Patricia Byrne
Jim Codd
Craig Doyle
Mary Farrell
Tom Forde
Paddy Kavanagh
Leonard Kelly
Darragh McDonald
Bridin Murphy
Marty Murphy
Aoife Rose O'Brien
John O'Rourke
Jackser Owens
Michael Sheehan
Frank Staples
Robbie Staples
Catherine Biddy Walsh
Jim Moore
Kathleen Codd-Nolan
John Hegarty
Michael Whelan
Anthony Connick
Diarmuid Devereux
Maura Bell
Cathal Byrne
Fionntain O'Suilleabhain
Andrew Bolger
George Lawlor
Ger Codd
Pat Reck
Tony Dempsey
Johnny Mythen
Deirdre Wadding
Michael Kinsella
Declan Macpartlin
Robert Ireton
Ted Howlin
Pat Cody
John Curtis
Anna Fenlon
Lorcan Allen
