councillor,total_proposed,total_seconded
Michael Sheehan,312,186
Cathal Byrne,252,148
Bridin Murphy,160,116
George Lawlor,109,103
Tom Forde,90,47
David Hynes,71,94
John Fleming,73,70
Jim Moore,80,79
Pip Breen,72,97
Anthony Donohoe,51,59
Lisa McDonald,49,40
John Hegarty,55,52
Aoife Rose O'Brien,79,82
Ger Carthy,54,68
Paddy Kavanagh,54,70
Michael Whelan,49,59
Tony Dempsey,48,34
Frank Staples,48,64
John O'Rourke,42,32
Leonard Kelly,36,46
Pat Reck,48,16
Ger Codd,78,113
Mary Farrell,35,72
Joe Sullivan,40,41
Oliver Walsh,48,92
Johnny Mythen,36,47
Deirdre Wadding,32,38
Michael Kinsella,31,22
Kenny Kelly,28,29
Declan Macpartlin,30,6
Barbara-Anne Murphy,34,30
Robert Ireton,27,36
Ted Howlin,25,32
Anthony Connick,24,46
Gary Laffan,19,27
Farrell Doyle,28,45
Pat Kehoe,25,27
Maura Bell,19,39
Aidan Browne,28,24
M Roche,14,26
O O'Connell,16,10
Jim Codd,16,34
D Kennedy,19,30
Willie Kavanagh,13,31
John Dwyer,14,10
Kathleen Codd-Nolan,14,20
Andrew Bolger,10,9
Lorcan Allen,9,6
Mcdonald Lawlor,9,0
Donohoe Devereux,9,11
Pat Barden,8,27
Pat Cody,7,13
Vicky Barron,6,7
O'S,4,1
Donal Kenny,4,35
Fionntain O'Suilleabhain,8,2
Jackser Owens,4,31
Jackser Whelan,2,3
F Os,2,5
Sheehan Seconded,2,0
Hynes Hegarty,2,0
Forde And,2,1
Fleming Fitzharris,2,9
John Curtis,2,3
Barbara Ann,1,0
K Codd-,3,4
Anna Fenlon,1,6
Macpartlin Seconded,1,0
K,1,0
L Seconded,1,0
O O',1,2
F S,1,2
Cllr A,1,0
Pat Moore,1,0
Sheehan Following,1,0
Lawlor Following,1,0
Hynes Seconded,1,0
Byrne And,1,0
Whelan Following,1,1
Hynes And,1,0
Ireton,1,0
Forde Fleming,1,1
F O'Sullivan,1,0
F O'S,1,2
G Carty,1,1
Carthy And,1,0
Hegarty And,1,0
A Donohue,1,2
Darragh Mcdonald,1,3
J O',1,0
Cllr F,1,1
Mcdonald And,1,2
Laffan And,1,0
M Ball,1,0
Raymond Shannon,0,7
Farrell And,0,4
L O',0,3
A Donoghue,0,3
Doyle And,0,3
Nicky Boland,0,2
F O',0,2
Sheehan And,0,2
L Cllr,0,1
O'Brien Following,0,1
R Ireeton,0,1
Kenny Following,0,1
Kenny And,0,1
Forde Page,0,1
Staples And,0,1
Breen Approved,0,1
Forde Following,0,1
Breen And,0,1
Mythen And,0,1
Roche A,0,1
Ireton And,0,1
Roche,0,1
O'Connell To,0,1
Brid,0,1
