councillor,role,count,raw_label
Michael Sheehan,proposer,268,M. Sheehan
Cathal Byrne,proposer,187,M. Byrne
Bridin Murphy,proposer,129,B.A. Murphy
George Lawlor,proposer,87,G. Lawlor
Tom Forde,proposer,77,T. Forde
David Hynes,proposer,60,D. Hynes
John Fleming,proposer,60,J. Fleming
Jim Moore,proposer,60,J. Moore
Pip Breen,proposer,52,P. Breen
Anthony Donohoe,proposer,48,A. Donohoe
Lisa McDonald,proposer,44,L. McDonald
John Hegarty,proposer,44,J. Hegarty
Aoife Rose O'Brien,proposer,44,L. O’Brien
Ger Carthy,proposer,42,G. Carthy
Paddy Kavanagh,proposer,40,P. Kavanagh
Michael Whelan,proposer,40,M. Whelan
Tony Dempsey,proposer,40,T. Dempsey
Frank Staples,proposer,36,F.
John O'Rourke,proposer,35,J. O’Rourke
Leonard Kelly,proposer,35,L. Kelly
Pat Reck,proposer,34,P. Reck
Ger Codd,proposer,33,K. Codd
Mary Farrell,proposer,33,M. Farrell
Joe Sullivan,proposer,32,J. Sullivan
Oliver Walsh,proposer,31,O. Walsh
Johnny Mythen,proposer,31,J. Mythen
Deirdre Wadding,proposer,30,D. Wadding
Cathal Byrne,proposer,28,M.  Byrne
Michael Kinsella,proposer,27,M. Kinsella
Ger Codd,proposer,26,P. Codd
Kenny Kelly,proposer,25,A. Kelly
Declan Macpartlin,proposer,24,D. MacPartlin
Michael Sheehan,proposer,19,M.  Sheehan
Barbara-Anne Murphy,proposer,19,M. Murphy
Robert Ireton,proposer,18,R. Ireton
Ted Howlin,proposer,18,T. Howlin
Anthony Connick,proposer,18,A. Connick
Gary Laffan,proposer,17,G. Laffan
Farrell Doyle,proposer,17,K. Doyle
Pat Kehoe,proposer,17,F. Kehoe
Maura Bell,proposer,17,M. Bell
Aidan Browne,proposer,17,A. Browne
Aoife Rose O'Brien,proposer,16,A.R. O’Brien
Cathal Byrne,proposer,15,C. Byrne
M Roche,proposer,14,M. Roche
O O'Connell,proposer,14,O. O’Connell
Jim Codd,proposer,13,J. Codd
George Lawlor,proposer,13,G.  Lawlor
D Kennedy,proposer,13,D. Kennedy
Willie Kavanagh,proposer,12,W. Kavanagh
John Dwyer,proposer,12,J. Dwyer
Ger Codd,proposer,12,P.  Codd
Pat Reck,proposer,12,P.  Reck
Kathleen Codd-Nolan,proposer,12,K. Codd-Nolan
